port_name,year,month,value,rank
Blaine,1996,6,1758728,1.0
Blaine,1997,8,1811004,1.0
Blaine,1998,8,1408194,1.0
Blaine,1999,8,1528506,1.0
Blaine,2000,7,1398473,1.0
Blaine,2001,8,1374372,1.0
Blaine,2002,8,962997,1.0
Blaine,2003,8,940795,1.0
Blaine,2004,8,900116,1.0
Blaine,2005,8,878198,1.0
Blaine,2006,8,963893,1.0
Blaine,2007,8,1005107,1.0
Blaine,2008,8,1034155,1.0
Blaine,2009,8,1047765,1.0
Blaine,2010,8,1189491,1.0
Blaine,2011,8,1485711,1.0
Blaine,2012,8,1615993,1.0
Blaine,2013,8,1706017,1.0
Blaine,2014,8,1720688,1.0
Blaine,2015,7,1448532,1.0
Blaine,2016,7,1366159,1.0
Blaine,2017,8,1415701,1.0
Blaine,2018,8,1434867,1.0
Blaine,2019,8,1400496,1.0
Blaine,2020,2,857177,1.0
Blaine,2021,12,372447,1.0
Blaine,2022,7,839556,1.0
Blaine,2023,8,1127357,1.0
Blaine,2024,8,1186844,1.0
Blaine,2025,1,784365,1.0
Brownsville,1996,12,2325719,1.0
Brownsville,1997,3,2389270,1.0
Brownsville,1998,12,2458704,1.0
Brownsville,1999,7,2805167,1.0
Brownsville,2000,3,2854313,1.0
Brownsville,2001,3,2772422,1.0
Brownsville,2002,12,2525623,1.0
Brownsville,2003,12,2449391,1.0
Brownsville,2004,3,2390594,1.0
Brownsville,2005,12,2344504,1.0
Brownsville,2006,7,2273352,1.0
Brownsville,2007,12,2039306,1.0
Brownsville,2008,11,2086708,1.0
Brownsville,2009,12,1801415,1.0
Brownsville,2010,1,1670557,1.0
Brownsville,2011,12,1347269,1.0
Brownsville,2012,12,1369754,1.0
Brownsville,2013,12,1401413,1.0
Brownsville,2014,12,1423252,1.0
Brownsville,2015,12,1457860,1.0
Brownsville,2016,12,1606538,1.0
Brownsville,2017,5,1602589,1.0
Brownsville,2018,12,1637356,1.0
Brownsville,2019,12,1616708,1.0
Brownsville,2020,1,1415309,1.0
Brownsville,2021,12,1302298,1.0
Brownsville,2022,12,1461446,1.0
Brownsville,2023,12,1558463,1.0
Brownsville,2024,11,1592322,1.0
Brownsville,2025,1,1409345,1.0
Calexico East,1996,1,0,1.0
Calexico East,1996,2,0,1.0
Calexico East,1996,3,0,1.0
Calexico East,1996,4,0,1.0
Calexico East,1996,5,0,1.0
Calexico East,1996,6,0,1.0
Calexico East,1996,7,0,1.0
Calexico East,1996,8,0,1.0
Calexico East,1996,9,0,1.0
Calexico East,1996,10,0,1.0
Calexico East,1996,11,0,1.0
Calexico East,1996,12,0,1.0
Calexico East,1997,12,784993,1.0
Calexico East,1998,4,729283,1.0
Calexico East,1999,6,919437,1.0
Calexico East,2000,12,1120167,1.0
Calexico East,2001,4,1130671,1.0
Calexico East,2002,12,1159822,1.0
Calexico East,2003,12,1092377,1.0
Calexico East,2004,1,967526,1.0
Calexico East,2005,12,1158293,1.0
Calexico East,2006,8,1348210,1.0
Calexico East,2007,12,993935,1.0
Calexico East,2008,3,1133843,1.0
Calexico East,2009,3,841845,1.0
Calexico East,2010,12,771009,1.0
Calexico East,2011,12,802915,1.0
Calexico East,2012,12,908166,1.0
Calexico East,2013,12,1125393,1.0
Calexico East,2014,12,998355,1.0
Calexico East,2015,12,1049553,1.0
Calexico East,2016,12,1138987,1.0
Calexico East,2017,3,1062740,1.0
Calexico East,2018,3,1015911,1.0
Calexico East,2019,12,916351,1.0
Calexico East,2020,1,794750,1.0
Calexico East,2021,12,724495,1.0
Calexico East,2022,12,828554,1.0
Calexico East,2023,12,863307,1.0
Calexico East,2024,3,870287,1.0
Calexico East,2025,1,833429,1.0
El Paso,1996,12,5619084,1.0
El Paso,1997,3,5732453,1.0
El Paso,1998,8,5736276,1.0
El Paso,1999,3,6118776,1.0
El Paso,2000,8,6586371,1.0
El Paso,2001,3,6784627,1.0
El Paso,2002,12,4769336,1.0
El Paso,2003,12,4595252,1.0
El Paso,2004,12,4695825,1.0
El Paso,2005,12,4911483,1.0
El Paso,2006,12,4663309,1.0
El Paso,2007,12,4472935,1.0
El Paso,2008,9,4179019,1.0
El Paso,2009,8,3794203,1.0
El Paso,2010,7,3226315,1.0
El Paso,2011,8,2839591,1.0
El Paso,2012,12,3149136,1.0
El Paso,2013,8,3554241,1.0
El Paso,2014,12,3478808,1.0
El Paso,2015,10,3627278,1.0
El Paso,2016,12,3679418,1.0
El Paso,2017,10,3796668,1.0
El Paso,2018,3,3830064,1.0
El Paso,2019,1,3603804,1.0
El Paso,2020,1,3248606,1.0
El Paso,2021,11,2239830,1.0
El Paso,2022,10,2389787,1.0
El Paso,2023,3,2453414,1.0
El Paso,2024,9,2399651,1.0
El Paso,2025,1,2045177,1.0
Laredo,1996,3,2845700,1.0
Laredo,1997,12,3627211,1.0
Laredo,1998,1,3363877,1.0
Laredo,1999,3,3102144,1.0
Laredo,2000,12,3156814,1.0
Laredo,2001,4,3255043,1.0
Laredo,2002,12,2936838,1.0
Laredo,2003,7,2914396,1.0
Laredo,2004,7,2809676,1.0
Laredo,2005,12,2717172,1.0
Laredo,2006,12,2792371,1.0
Laredo,2007,12,2676266,1.0
Laredo,2008,12,2803068,1.0
Laredo,2009,1,2687388,1.0
Laredo,2010,1,2215605,1.0
Laredo,2011,12,1941111,1.0
Laredo,2012,12,2055956,1.0
Laredo,2013,12,2206414,1.0
Laredo,2014,12,2215694,1.0
Laredo,2015,12,2360917,1.0
Laredo,2016,3,2252739,1.0
Laredo,2017,7,2169866,1.0
Laredo,2018,7,2334247,1.0
Laredo,2019,7,2315899,1.0
Laredo,2020,1,2145964,1.0
Laredo,2021,12,1959399,1.0
Laredo,2022,12,2026867,1.0
Laredo,2023,12,2237469,1.0
Laredo,2024,12,2426787,1.0
Laredo,2025,1,2335112,1.0
Nogales,1996,10,1638774,1.0
Nogales,1997,5,1648941,1.0
Nogales,1998,12,1706389,1.0
Nogales,1999,9,2168691,1.0
Nogales,2000,6,2236435,1.0
Nogales,2001,5,1895257,1.0
Nogales,2002,12,1877799,1.0
Nogales,2003,6,1804733,1.0
Nogales,2004,7,2753537,1.0
Nogales,2005,3,1801923,1.0
Nogales,2006,12,1900623,1.0
Nogales,2007,12,1865018,1.0
Nogales,2008,2,1780167,1.0
Nogales,2009,12,1448774,1.0
Nogales,2010,3,1261010,1.0
Nogales,2011,12,1136416,1.0
