port_name,year,predicted_value,rank
Alcan,2026,95004,64.0
Alcan,2027,90517,62.0
Alcan,2028,86029,62.0
Alcan,2029,81541,61.0
Alcan,2030,77053,61.0
Alcan,2031,72565,59.0
Alcan,2032,68078,57.0
Alcan,2033,63590,57.0
Alcan,2034,59102,56.0
Alcan,2035,54614,55.0
Alexandria Bay,2026,1425097,26.0
Alexandria Bay,2027,1363341,26.0
Alexandria Bay,2028,1301584,27.0
Alexandria Bay,2029,1239828,28.0
Alexandria Bay,2030,1178072,28.0
Alexandria Bay,2031,1116315,28.0
Alexandria Bay,2032,1054559,29.0
Alexandria Bay,2033,992803,29.0
Alexandria Bay,2034,931046,29.0
Alexandria Bay,2035,869290,29.0
Algonac,2026,79268,68.0
Algonac,2027,85603,65.0
Algonac,2028,91938,61.0
Algonac,2029,98272,60.0
Algonac,2030,104607,57.0
Algonac,2031,110942,56.0
Algonac,2032,117277,53.0
Algonac,2033,123611,50.0
Algonac,2034,129946,48.0
Algonac,2035,136281,46.0
Ambrose,2026,-2886,110.0
Ambrose,2027,-3550,108.0
Ambrose,2028,-4214,108.0
Ambrose,2029,-4878,103.0
Ambrose,2030,-5542,101.0
Ambrose,2031,-6205,100.0
Ambrose,2032,-6869,97.0
Ambrose,2033,-7533,96.0
Ambrose,2034,-8197,96.0
Ambrose,2035,-8861,96.0
Anacortes,2026,116051,62.0
Anacortes,2027,117157,60.0
Anacortes,2028,118263,59.0
Anacortes,2029,119369,56.0
Anacortes,2030,120475,56.0
Anacortes,2031,121581,53.0
Anacortes,2032,122687,51.0
Anacortes,2033,123793,49.0
Anacortes,2034,124899,49.0
Anacortes,2035,126005,47.0
Andrade,2026,1314185,30.0
Andrade,2027,1217906,32.0
Andrade,2028,1121627,32.0
Andrade,2029,1025348,32.0
Andrade,2030,929069,33.0
Andrade,2031,832790,33.0
Andrade,2032,736510,33.0
Andrade,2033,640231,35.0
Andrade,2034,543952,35.0
Andrade,2035,447673,36.0
Antler,2026,13719,92.0
Antler,2027,12664,90.0
Antler,2028,11609,89.0
Antler,2029,10554,85.0
Antler,2030,9499,85.0
Antler,2031,8444,87.0
Antler,2032,7389,85.0
Antler,2033,6335,84.0
Antler,2034,5280,85.0
Antler,2035,4225,86.0
Bar Harbor,2026,19679,89.0
Bar Harbor,2027,18991,87.0
Bar Harbor,2028,18303,84.0
Bar Harbor,2029,17614,83.0
Bar Harbor,2030,16926,83.0
Bar Harbor,2031,16238,81.0
Bar Harbor,2032,15549,79.0
Bar Harbor,2033,14861,77.0
Bar Harbor,2034,14173,77.0
Bar Harbor,2035,13485,75.0
Baudette,2026,213451,53.0
Baudette,2027,194832,54.0
Baudette,2028,176212,53.0
Baudette,2029,157593,53.0
Baudette,2030,138973,53.0
Baudette,2031,120353,54.0
Baudette,2032,101734,54.0
Baudette,2033,83114,54.0
Baudette,2034,64495,54.0
Baudette,2035,45875,57.0
Beecher Falls,2026,96170,63.0
Beecher Falls,2027,87872,63.0
Beecher Falls,2028,79575,64.0
Beecher Falls,2029,71277,64.0
Beecher Falls,2030,62979,64.0
Beecher Falls,2031,54681,63.0
Beecher Falls,2032,46383,62.0
